Account name,Site name,Transferable,Sandbox,Environment name,WP Site URL,Environment type (PRD/STG/DEV),Domain,PHP version,WP version,DB storage (GB),File storage (GB),Total storage (GB),Bandwidth 30 day avg (GB),Bandwidth 30 day sum (GB),Total Visits 30 day avg,Total Visits 30 day sum,Site Tags
everneu,logiflexinc,false,false,logiflexincstg,http://logiflexincstg.wpengine.com,STG,logiflexincstg.wpengine.com,8.2,6.7.2,0.03200531,0.22499466,0.25699997,0.00003209,0.00099473,0,8,
everneu,logiflexinc 2,false,false,logiflexinc2,http://logiflexinc2.wpengine.com,PRD,logiflexinc2.wpengine.com,8.2,6.8.2,0.00185013,0.08387756,0.08572769,0.00001503,0.00046600,62,1934,
everneu,logiflex legacy,false,false,logiflexlegacy,http://logiflexlegacy.wpengine.com,PRD,logiflexlegacy.wpengine.com,8.2,6.8.2,0.44581223,1.24227524,1.68808746,0.00000590,0.00018292,0,3,
everneu,MB Schoen,false,false,mbschoendev,http://mbschoendev.wpenginepowered.com,DEV,mbschoendev.wpenginepowered.com,8.2,6.8.2,0.28758621,0.43146896,0.71905518,0.00856412,0.26548762,2,70,
everneu,Michael Nash,false,false,michanash25dev,http://michanash25dev.wpenginepowered.com,DEV,michanash25dev.wpenginepowered.com,8.2,6.8.2,1.10449600,81.76340866,82.86790466,1.42955185,44.31610732,3,121,
everneu,Michael Nash,false,false,michaelnash25,http://michaelnashdesignbuild.com,PRD,michaelnashdesignbuild.com,8.2,6.8.2,0.99728012,81.81864929,82.81592941,1.45731482,45.17675944,117,3649,
everneu,Michael Nash,false,false,michaelnashstg,http://michaelnashstg.wpenginepowered.com,STG,michaelnashstg.wpenginepowered.com,8.2,6.8.2,0.74105453,64.87462616,65.61568069,0.00056747,0.01759171,0,6,
everneu,Mr Locks,false,false,mrlocksdev,http://mrlocksdev.wpenginepowered.com,DEV,mrlocksdev.wpenginepowered.com,7.4,6.8.2,0.20397949,1.01246262,1.21644211,0.00038252,0.01185809,0,7,
everneu,Mr Locks,false,false,mrlocks,http://mrlocks.wpenginepowered.com,PRD,mrlocks.wpenginepowered.com,7.4,6.8.2,0.22767258,2.63642120,2.86409378,0.00475470,0.14739564,7,246,
everneu,mrlocksleg,false,false,mrlocksleg,http://mrlocksleg.wpenginepowered.com,PRD,mrlocksleg.wpenginepowered.com,7.4,6.8.2,0.18541336,0.97281647,1.15822983,0.00000512,0.00015886,0,3,
